ip,open_ports
157.180.29.49,22,80,443
162.159.140.159,80,443,8080,8443
167.172.86.54,22,80,443
172.66.0.157,80,443,8080,8443
198.202.211.1,80,443,8080,8443
3.162.58.106,80,443
3.162.58.108,80,443
3.162.58.111,80,443
3.162.58.115,80,443
3.162.58.121,80,443
3.162.58.20,80,443
3.162.58.30,80,443
3.162.58.36,80,443
3.162.58.38,80,443
3.162.58.44,80,443
3.162.58.51,80,443
3.162.58.52,80,443
3.162.58.56,80,443
3.162.58.59,80,443
3.162.58.60,80,443
3.162.58.64,80,443
3.162.58.67,80,443
3.162.58.74,80,443
3.162.58.76,80,443
3.162.58.81,80,443
3.162.58.9,80,443
3.162.58.96,80,443
3.162.58.97,80,443
3.162.58.99,80,443
3.162.66.105,80,443
3.162.66.107,80,443
3.162.66.111,80,443
3.162.66.126,80,443
3.162.66.60,80,443
3.162.66.61,80,443
3.162.66.79,80,443
3.162.66.8,80,443
3.165.50.114,80,443
3.165.50.126,80,443
3.165.50.15,80,443
3.165.50.33,80,443
3.165.50.53,80,443
3.165.50.72,80,443
3.165.50.73,80,443
3.165.50.77,80,443
34.149.86.174,80,443
34.160.19.16,80,443
44.193.169.210,80,443
98.91.6.141,80,443
